Eviction ID,Address,City,State,Year,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Location,Reason
M132195,1000 Block Of Market  Street,San Francisco,CA,2013,94103,10/28/2013,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,,,6,South of Market,"(37.7812876875414, -122.411318055944)",Demolition
M120495,600 Block Of Hyde  Street,San Francisco,CA,2012,94109,04/06/2012,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,6,Tenderloin,"(37.7867864400119, -122.416475579928)",Nuisance
M110859,400 Block Of Davis  Court,San Francisco,CA,2011,94111,05/24/2011,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,3,Financial District/South Beach,"(37.7967073397232, -122.398186155705)",Nuisance
M141186,1800 Block Of 35th  Avenue,San Francisco,CA,2014,94116,05/28/2014,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,4,Sunset/Parkside,"(37.752546304762, -122.493622363448)",Nuisance
M120405,700 Block Of 14th  Avenue,San Francisco,CA,2012,94118,03/21/2012,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,1,Outer Richmond,"(37.7740436150628, -122.47243500079)",Nuisance
M142434,900 Block Of Hampshire  Street,San Francisco,CA,2014,94110,11/05/2014,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,9,Mission,"(37.756902663673, -122.407747149757)",Non Payment
M111207,300 Block Of 29th  Street,San Francisco,CA,2011,94131,07/22/2011,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,8,Noe Valley,"(37.7435777001044, -122.427771265192)",Breach
M131950,0 Block Of Parsons  Street,San Francisco,CA,2013,94118,10/03/2013,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,1,Lone Mountain/USF,"(37.775140341824, -122.455414918817)",Breach
M140611,0 Block Of Boardman  Place,San Francisco,CA,2014,94103,03/28/2014,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,6,South of Market,"(37.7749733343928, -122.403306382837)",Breach
M140853,1700 Block Of Hyde  Street,San Francisco,CA,2014,94109,04/18/2014,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,3,Russian Hill,"(37.7968133505068, -122.418496319029)",Nuisance
M111677,300 Block Of Eugenia  Avenue,San Francisco,CA,2011,94110,10/12/2011,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,9,Bernal Heights,"(37.741157262679, -122.419119707764)",Nuisance
M141767,1400 Block Of Sanchez  Street,San Francisco,CA,2014,94131,08/18/2014,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,08/14/2017,8,Noe Valley,"(37.7455583612176, -122.429145411329)",Owner Move In
M120655,900 Block Of Le Conte  Avenue,San Francisco,CA,2012,94124,05/04/2012,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,,,10,Bayview Hunters Point,"(37.7180638580653, -122.396004115888)",Other Cause
M131142,400 Block Of Hoffman  Avenue,San Francisco,CA,2013,94114,06/18/2013,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,,,8,Noe Valley,"(37.7500971536049, -122.440606260273)",Demolition
M140007,2500 Block Of 19th  Street,San Francisco,CA,2014,94110,01/15/2014,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,01/14/2017,10,Potrero Hill,"(37.760685936487, -122.407570201039)",Owner Move In
M150299,100 Block Of Font  Boulevard,San Francisco,CA,2015,94132,02/20/2015,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,7,Lakeshore,"(37.715545052959, -122.473629919957)",Breach
M111880,100 Block Of Albion  Street,San Francisco,CA,2011,94110,12/30/2011,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,12/28/2014,8,Mission,"(37.7636369577888, -122.422805752417)",Owner Move In
M140796,200 Block Of 9th  Street,San Francisco,CA,2014,94103,04/10/2014,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,6,South of Market,"(37.7739450367833, -122.411938244387)",Breach
M141208,4800 Block Of Mission  Street,San Francisco,CA,2014,94110,06/05/2014,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,11,Excelsior,"(37.720547638196, -122.437805967509)",Breach
M111974,2000 Block Of Green  Street,San Francisco,CA,2011,94123,11/21/2011,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,2,Marina,"(37.796524939147, -122.432847820606)",Breach
M141656,600 Block Of Castro  Street,San Francisco,CA,2014,94114,07/24/2014,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,8,Castro/Upper Market,"(37.7584836231287, -122.434844610371)",Breach
M110582,300 Block Of 7th  Avenue,San Francisco,CA,2011,94118,04/06/2011,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,1,Inner Richmond,"(37.7819250815753, -122.465491719749)",Breach
M151928,900 Block Of Geary  Street,San Francisco,CA,2015,94109,07/27/2015,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,6,Tenderloin,"(37.7860512190194, -122.41892427779)",Illegal Use
M110084,1400 Block Of Guerrero  Street,San Francisco,CA,2011,94110,01/25/2011,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,8,Mission,"(37.74840056907, -122.422415578323)",Non Payment
M140598,900 Block Of Valencia  Street,San Francisco,CA,2014,94110,03/26/2014,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,9,Mission,"(37.7581042107699, -122.421163821355)",Breach
M131097,400 Block Of Hyde  Street,San Francisco,CA,2013,94109,06/12/2013,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,6,Tenderloin,"(37.7849211330456, -122.41609739069)",Breach
M141499,500 Block Of Munich  Street,San Francisco,CA,2014,94112,06/30/2014,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,11,Excelsior,"(37.7170496405604, -122.429629190738)",Multiple
M142563,600 Block Of Pine  Street,San Francisco,CA,2014,94108,11/19/2014,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,3,Financial District/South Beach,"(37.791343878378, -122.406521512154)",Multiple
M153147,4600 Block Of California  Street,San Francisco,CA,2015,94118,11/13/2015,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,1,Inner Richmond,"(37.7847469191561, -122.467233169987)",Nuisance
M132547,0 Block Of Byron  Court,San Francisco,CA,2013,94112,12/23/2013,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,11,Excelsior,"(37.7094763191617, -122.444390891496)",Breach
M141082,400 Block Of Utah  Street,San Francisco,CA,2014,94110,05/13/2014,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,10,Potrero Hill,"(37.7638966184378, -122.406436353945)",Roommate Same Unit
M140030,400 Block Of University  Street,San Francisco,CA,2014,94134,02/27/2014,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,02/26/2017,9,Portola,"(37.7244392320497, -122.413284473639)",Owner Move In
M120931,400 Block Of Moscow  Street,San Francisco,CA,2012,94112,06/21/2012,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,11,Excelsior,"(37.7204564874399, -122.428165238049)",Breach
M131152,200 Block Of 8th  Avenue,San Francisco,CA,2013,94118,06/26/2013,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,06/21/2016,1,Inner Richmond,"(37.7837793907668, -122.466697645275)",Owner Move In
M130967,100 Block Of Buena Vista  Terrace,San Francisco,CA,2013,94117,05/22/2013,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,8,Castro/Upper Market,"(37.7665076873384, -122.438384811774)",Breach
M140529,100 Block Of Font  Boulevard,San Francisco,CA,2014,94132,03/10/2014,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,7,Lakeshore,"(37.715545052959, -122.473629919957)",Breach
M130185,1000 Block Of Post  Street,San Francisco,CA,2013,94109,01/31/2013,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,,,3,Nob Hill,"(37.7869869759604, -122.419110402158)",Ellis Act WithDrawal
M150748,600 Block Of 10th  Avenue,San Francisco,CA,2015,94118,04/06/2015,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,04/02/2018,1,Inner Richmond,"(37.7761096420441, -122.468156426307)",Owner Move In
M130132,1300 Block Of Market  Street,San Francisco,CA,2013,94102,01/23/2013,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,6,Tenderloin,"(37.777083463941, -122.416979326588)",Nuisance
M122028,1000 Block Of Post  Street,San Francisco,CA,2012,94109,10/29/2012,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,3,Nob Hill,"(37.7869869759604, -122.419110402158)",Nuisance
M132473,1300 Block Of Page  Street,San Francisco,CA,2013,94117,12/12/2013,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,5,Haight Ashbury,"(37.7714103642045, -122.443000900186)",Nuisance
M150053,600 Block Of Ashbury  Street,San Francisco,CA,2015,94117,01/06/2015,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,5,Haight Ashbury,"(37.7695496955599, -122.446771037008)",Nuisance
M130227,200 Block Of Point Lobos  Avenue,San Francisco,CA,2013,94121,02/07/2013,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,1,Outer Richmond,"(37.7799022077888, -122.505670665593)",Nuisance
M140440,2700 Block Of Mcallister  Street,San Francisco,CA,2014,94118,03/07/2014,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,02/27/2017,1,Lone Mountain/USF,"(37.7754157857184, -122.457464673593)",Owner Move In
M110128,900 Block Of Grove  Street,San Francisco,CA,2011,94117,02/10/2011,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,5,Hayes Valley,"(37.7767091335421, -122.432217435294)",Non Payment
M153020,1200 Block Of 25th  Avenue,San Francisco,CA,2015,94122,11/02/2015,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,4,Sunset/Parkside,"(37.7642163525622, -122.483688577478)",Nuisance
M120281,2000 Block Of Broadway,San Francisco,CA,2012,94115,02/29/2012,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,2,Pacific Heights,"(37.7947353789191, -122.430800541485)",Breach
M152693,1700 Block Of Mcallister  Street,San Francisco,CA,2015,94115,10/02/2015,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,,,5,Western Addition,"(37.7775342408251, -122.440863682785)",Late Payments
M132299,100 Block Of 6th  Avenue,San Francisco,CA,2013,94118,11/14/2013,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,1,Inner Richmond,"(37.7858290556559, -122.464701903841)",Nuisance
