eviction_id,address,zip,file date,year,reason,latitude,longitude,supervisor_district,neighborhood
M151341,1200 Block of Egbert Avenue,94124,5/29/15,2015,Breach,37.72103637,-122.3898715,10,Bayview Hunters Point
M151344,500 Block of Webster Street,94117,5/29/15,2015,Breach,37.77580215,-122.4295753,5,Hayes Valley
M151345,500 Block of Webster Street,94117,5/29/15,2015,Breach,37.77580215,-122.4295753,5,Hayes Valley
M151348,900 Block of Dwight Street,94124,5/29/15,2015,Breach,37.72153424,-122.4114598,9,Portola
M151350,1400 Block of Howard Street,94103,5/29/15,2015,Breach,37.7736109,-122.4150134,6,South of Market
M151339,2500 Block of McAllister Street,94118,5/28/15,2015,Nuisance,37.7755842,-122.4538534,1,Lone Mountain/USF
M151342,1300 Block of Taylor Street,94108,5/28/15,2015,Breach,37.79476788,-122.4130311,3,Nob Hill
M151317,1900 Block of 31st Avenue,94116,5/28/15,2015,Owner Move In,37.75087186,-122.4891991,4,Sunset/Parkside
M151327,300 Block of 28th Street,94131,5/28/15,2015,Ellis Act WithDrawal,37.74515347,-122.4301518,8,Noe Valley
M151318,500 Block of London Street,94112,5/28/15,2015,Owner Move In,37.72045775,-122.437031,11,Excelsior
M151336,1300 Block of Haight Street,94117,5/28/15,2015,Non Payment,37.77037251,-122.444508,5,Haight Ashbury
M151336,1300 Block of Haight Street,94117,5/28/15,2015,Breach,37.77037251,-122.444508,5,Haight Ashbury
M151337,2000 Block of Bancroft Avenue,94122,5/28/15,2015,Nuisance,37.7304116,-122.4011667,10,Bayview Hunters Point
M151338,100 Block of Sutro Heights Avenue,94121,5/28/15,2015,Roommate Same Unit,37.77606996,-122.5086216,1,Outer Richmond
M151316,1300 Block of 39th Avenue,94122,5/27/15,2015,Owner Move In,37.76168942,-122.4984208,4,Sunset/Parkside
M151314,1600 Block of 45th Avenue,94122,5/27/15,2015,Owner Move In,37.75580642,-122.5045977,4,Sunset/Parkside
M151315,0 Block of Concord Street,94112,5/27/15,2015,Owner Move In,37.71277502,-122.4427769,11,Excelsior
M151310,2000 Block of Bancroft Avenue,94122,5/27/15,2015,Nuisance,37.7304116,-122.4011667,10,Bayview Hunters Point
M151308,0 Block of Cervantes Boulevard,94123,5/27/15,2015,Breach,37.80363413,-122.4383034,2,Marina
M151308,0 Block of Cervantes Boulevard,94123,5/27/15,2015,Nuisance,37.80363413,-122.4383034,2,Marina
M151326,200 Block of Ellsworth Street,94110,5/27/15,2015,Ellis Act WithDrawal,37.73959055,-122.4145385,9,Bernal Heights
M151301,2100 Block of Taylor Street,94133,5/26/15,2015,Breach,37.80216358,-122.4145184,3,Russian Hill
M151292,2000 Block of Bancroft Avenue,94122,5/26/15,2015,Nuisance,37.7304116,-122.4011667,10,Bayview Hunters Point
M151283,100 Block of Thrift Street,94112,5/26/15,2015,Owner Move In,37.71741111,-122.4575826,11,Oceanview/Merced/Ingleside
M151300,1100 Block of Filbert Street,94109,5/26/15,2015,Non Payment,37.80018312,-122.4183991,2,Russian Hill
M151303,1300 Block of California Street,94109,5/26/15,2015,Non Payment,37.7911188,-122.416758,3,Nob Hill
M151281,600 Block of 15th Avenue,94118,5/26/15,2015,Owner Move In,37.77585709,-122.4736996,1,Outer Richmond
M151419,900 Block of Geary Street,94109,5/26/15,2015,Nuisance,37.78594273,-122.4189026,6,Tenderloin
M151302,2000 Block of Bancroft Avenue,94122,5/26/15,2015,Nuisance,37.7304116,-122.4011667,10,Bayview Hunters Point
M151282,1100 Block of Filbert Street,94109,5/26/15,2015,Owner Move In,37.80018312,-122.4183991,2,Russian Hill
M151284,3300 Block of 26th Street,94110,5/26/15,2015,Owner Move In,37.7491131,-122.4178567,9,Mission
M151299,3200 Block of Balboa Street,94121,5/26/15,2015,Breach,37.77583151,-122.4935701,1,Outer Richmond
M151291,200 Block of Lily Street,94102,5/22/15,2015,Nuisance,37.77428849,-122.4250077,5,Hayes Valley
M151280,300 Block of Harvard Street,94134,5/22/15,2015,Owner Move In,37.72532731,-122.4200575,9,Excelsior
M151276,0 Block of Montana Street,94112,5/22/15,2015,Owner Move In,37.7166743,-122.4550489,11,Oceanview/Merced/Ingleside
M151278,3000 Block of 21st Street,94110,5/22/15,2015,Owner Move In,37.75714476,-122.4161677,9,Mission
M151288,1000 Block of Florida Street,94110,5/22/15,2015,Late Payments,37.75513703,-122.4103656,9,Mission
M151290,1000 Block of Post Street,94109,5/22/15,2015,Breach,37.78698698,-122.4191104,3,Nob Hill
M151290,1000 Block of Post Street,94109,5/22/15,2015,Nuisance,37.78698698,-122.4191104,3,Nob Hill
M151289,300 Block of Alemany Boulevard,94110,5/22/15,2015,Breach,37.73407047,-122.4123698,9,Bernal Heights
M151277,100 Block of Campbell Avenue,94134,5/22/15,2015,Owner Move In,37.71503742,-122.4011217,10,Visitacion Valley
M151279,3800 Block of Noriega Street,94122,5/22/15,2015,Owner Move In,37.75304266,-122.5048734,4,Sunset/Parkside
M151273,1900 Block of Ellis Street,94115,5/21/15,2015,Owner Move In,37.78172837,-122.43787,5,Western Addition
M151274,300 Block of Corbett Avenue,94114,5/21/15,2015,Owner Move In,37.75992605,-122.4450435,8,Castro/Upper Market
M151286,1200 Block of Bush Street,94109,5/21/15,2015,Breach,37.78895561,-122.4178258,3,Nob Hill
M151275,100 Block of Glenview Drive,94131,5/21/15,2015,Owner Move In,37.74834217,-122.4468421,8,Twin Peaks
M151272,100 Block of Wawona Street,94127,5/21/15,2015,Owner Move In,37.74068095,-122.4673342,7,West of Twin Peaks
M151287,300 Block of 5th Avenue,94118,5/21/15,2015,Breach,37.78203286,-122.4632115,1,Inner Richmond
M151285,2600 Block of 36th Avenue,94116,5/21/15,2015,Late Payments,37.73761556,-122.4935351,4,Sunset/Parkside
M151256,300 Block of Grove Street,94102,5/20/15,2015,Breach,37.77786375,-122.4223324,5,Hayes Valley
M151253,2600 Block of 20th Avenue,94116,5/20/15,2015,Demolition,37.7383396,-122.4764962,4,Sunset/Parkside
M151252,3500 Block of Santiago Street,94116,5/20/15,2015,Nuisance,37.74356444,-122.5052844,4,Sunset/Parkside
M151257,2900 Block of Fulton Street,94118,5/20/15,2015,Other Cause,37.77374614,-122.4632275,1,Inner Richmond
M151241,800 Block of California Street,94109,5/19/15,2015,Illegal Use,37.79226943,-122.4078148,3,Chinatown
M151240,200 Block of Ocean Avenue,94112,5/19/15,2015,Other Cause,37.72333885,-122.4418165,11,Outer Mission
M151242,800 Block of California Street,94109,5/19/15,2015,Breach,37.79226943,-122.4078148,3,Chinatown
M151167,200 Block of Montana Street,94112,5/18/15,2015,Owner Move In,37.71652692,-122.4614229,11,Oceanview/Merced/Ingleside
M151165,400 Block of 32nd Avenue,94121,5/18/15,2015,Owner Move In,37.78071502,-122.4922346,1,Outer Richmond
M151239,100 Block of Duboce Avenue,94103,5/18/15,2015,Late Payments,37.76970272,-122.4241961,8,Mission
M151219,1500 Block of Oak Street,94117,5/18/15,2015,Breach,37.77213361,-122.4448596,5,Haight Ashbury
M151238,0 Block of Parker Avenue,94118,5/18/15,2015,Breach,37.78513998,-122.454627,2,Presidio Heights
M151236,300 Block of 10th Street,94103,5/18/15,2015,Breach,37.77248116,-122.4123117,6,South of Market
M151168,1700 Block of Felton Street,94134,5/18/15,2015,Owner Move In,37.72547194,-122.4218277,9,Excelsior
M151166,1000 Block of Guerrero Street,94112,5/18/15,2015,Owner Move In,37.7539749,-122.4229545,8,Mission
M151237,300 Block of Hyde Street,94109,5/18/15,2015,Breach,37.78397351,-122.4160455,6,Tenderloin
M151235,300 Block of 10th Street,94103,5/18/15,2015,Nuisance,37.77248116,-122.4123117,6,South of Market
M151233,300 Block of Capp Street,94110,5/18/15,2015,Breach,37.76109715,-122.4182637,9,Mission
M151234,700 Block of Madrid Street,94112,5/18/15,2015,Breach,37.7177022,-122.4356846,11,Excelsior
M151164,1000 Block of Potrero Avenue,94110,5/15/15,2015,Owner Move In,37.75535866,-122.4066826,9,Potrero Hill
